IncidentNumber,CaseNumber,DateOccurred - Dt,DateOccurred - Txt,IncidentType,IncidentCode,AssociatedOfficerNumber,BadgeNum ber,OfficerTitle,OfficerRace,OfficerGender,OfficerOnDuty,FullAddress,CitizenNumber,CitizenRace,CitizenGenger,CitizenFatality,City,Precinct,CitizenGender,UseOfForceType
11544,14-049-1015,2/18/2014,2014-02-18,Use Offorce,UOF,265,C126,Captain,White,Male,,,5702,Black,Female,No,Buﬀalo,A,Female,
11544,14-049-1015,2/18/2014,2014-02-18,Use Of Force,UOF,967,L499,Policeoﬃcer,White,Male,,,5702,Black,Female,No,Buﬀalo,A,Female,
11544,14-049-1015,2/18/2014,2014-02-18,Use Of Force,UOF,967,L499,Policeoﬃcer,White,Male,,,5703,Black,Male,No,Buﬀalo,A,Male,
11544,14-049-1015,2/18/2014,2014-02-18,Use Offorce,UOF,265,C126,Captain,White,Male,,,5703,Black,Male,No,Buﬀalo,A,Male,
11544,14-049-1015,2/18/2014,2014-02-18,Use Of Force,UOF,1146,D692,Policeoﬃcer,White,Male,,,5703,Black,Male,No,Buﬀalo,A,Male,
11560,140500825,2/19/2014,2014-02-19,Use Of Force,UOF,1126,C151,Policeofficer,White,Male,,,5712,White,Male,No,Buffalo,,Male,Verbal
11560,140500825,2/19/2014,2014-02-19,Use Of Force,UOF,1126,C151,Policeofficer,White,Male,,,5712,White,Male,No,Buffalo,,Male,Pain Compliance
11560,140500825,2/19/2014,2014-02-19,Use Of Force,UOF,1126,C151,Policeofficer,White,Male,,,5712,White,Male,No,Buffalo,,Male,Pain Compliance
11560,140500825,2/19/2014,2014-02-19,Use Of Force,UOF,1185,D645,Policeoﬃcer,White,Female,,,5712,White,Male,No,Buﬀalo,,Male,
11561,140500800,2/19/2014,2014-02-19,Use Offorce,UOF,1395,P2194,Oﬃcer,White,Male,,,5713,Black,Male,No,Buﬀalo,,Male,
11561,140500800,2/19/2014,2014-02-19,Use Offorce,UOF,1370,2118,Oﬃcer,Black,Male,,,5713,Black,Male,No,Buﬀalo,,Male,
11570,14-002-0236,1/2/2014,2014-01-02,Use Of Force,UOF,1092,P3300,Policeofficer,Black,Male,,,5716,White,Male,No,Buffalo,,Male,Verbal
11570,14-002-0236,1/2/2014,2014-01-02,Use Of Force,UOF,1092,P3300,Policeofficer,Black,Male,,,5716,White,Male,No,Buffalo,,Male,Physical
11570,14-002-0236,1/2/2014,2014-01-02,Use Of Force,UOF,1029,D667,Policeoﬃcer,White,Female,,,5716,White,Male,No,Buﬀalo,,Male,
11570,14-002-0236,1/2/2014,2014-01-02,Use Of Force,UOF,611,P3501,Policeoﬃcer,Black,Male,,,5716,White,Male,No,Buﬀalo,,Male,
11571,14-003-0916,1/3/2014,2014-01-03,Use Of Force,UOF,1146,D692,Policeofficer,White,Male,,,5717,Hispanic,Male,No,Buffalo,B,Male,Pain Compliance
11571,14-003-0916,1/3/2014,2014-01-03,Use Of Force,UOF,1146,D692,Policeofficer,White,Male,,,5717,Hispanic,Male,No,Buffalo,B,Male,Physical
11571,14-003-0916,1/3/2014,2014-01-03,Use Of Force,UOF,999,D646,Policeoﬃcer,White,Male,,,5717,Hispanic,Male,No,Buﬀalo,B,Male,
11581,140530405,2/22/2014,2014-02-22,Use Of Force,UOF,64,P3385,Policeofficer,White,Male,,,5723,Hispanic,Male,No,Buffalo,A,Male,Physical
11581,140530405,2/22/2014,2014-02-22,Use Offorce,UOF,48,L367,Lieutenant,White,Male,,,5723,Hispanic,Male,No,Buﬀalo,A,Male,
11582,140540165,2/23/2014,2014-02-23,Use Offorce,UOF,1323,L508,Oﬃcer,White,Male,,,5725,Black,Male,No,Buﬀalo,,Male,
11582,140540165,2/23/2014,2014-02-23,Use Of Force,UOF,159,P2335,Policeoﬃcer,Hispanic,Male,,,5725,Black,Male,No,Buﬀalo,,Male,
11582,140540165,2/23/2014,2014-02-23,Use Offorce,UOF,1340,P3272,Oﬃcer,White,Male,,,5725,Black,Male,No,Buﬀalo,,Male,
11583,140540165,2/23/2014,2014-02-23,Use Of Force,UOF,159,P2335,Policeoﬃcer,Hispanic,Male,,,5725,Black,Male,No,Buﬀalo,D,Male,
11583,140540165,2/23/2014,2014-02-23,Use Offorce,UOF,1323,L508,Oﬃcer,White,Male,,,5725,Black,Male,No,Buﬀalo,D,Male,
11584,140540816,2/23/2014,2014-02-23,Use Of Force,UOF,981,D648,Policeoﬃcer,Black,Male,,,5726,White,Male,No,Buﬀalo,,Male,
11589,140540677,2/23/2014,2014-02-23,Use Offorce,UOF,1300,C155,Oﬃcer,White,Male,,,5731,Black,Female,No,Buﬀalo,E,Female,
11589,140540677,2/23/2014,2014-02-23,Use Offorce,UOF,1445,3527,Ppo,White,Male,,,5731,Black,Female,No,Buﬀalo,E,Female,
11590,140560544,2/25/2014,2014-02-25,Use Of Force,UOF,490,P2124,Policeoﬃcer,White,Male,,,5732,Hispanic,Male,No,Buﬀalo,,Male,
11608,14-054-0269,2/23/2014,2014-02-23,External,GEN,424,P3374,Policeoﬃcer,White,Male,No,,5740,,Female,No,Buﬀalo,C,Female,
11608,14-054-0269,2/23/2014,2014-02-23,External,GEN,1213,P2555,Policeoﬃcer,White,Male,No,,5740,,Female,No,Buﬀalo,C,Female,
